Distance,Depth,15/06/2015 16:35,15/06/2015 16:37,15/06/2015 16:39,15/06/2015 16:41,15/06/2015 16:43,15/06/2015 16:45,15/06/2015 16:47,15/06/2015 16:49,15/06/2015 16:52,15/06/2015 16:54,15/06/2015 16:56,15/06/2015 16:58,15/06/2015 17:00,15/06/2015 17:02,15/06/2015 17:04,15/06/2015 17:06,15/06/2015 17:08,15/06/2015 17:10,15/06/2015 17:12,15/06/2015 17:14,15/06/2015 17:16,15/06/2015 17:18,15/06/2015 17:20,15/06/2015 17:23,15/06/2015 17:25,15/06/2015 17:27,15/06/2015 17:29
59.851,0.279076433,13.801,13.718,13.847,13.822,13.842,13.734,13.89,13.764,13.688,13.832,13.835,13.981,13.902,13.827,13.897,13.904,13.777,14.042,14.008,13.891,13.778,14.032,14.012,13.909,13.958,13.944,13.967
60.105,0.283121019,13.776,13.715,13.822,13.822,13.816,13.745,13.741,13.737,13.678,13.73,13.755,13.912,13.857,13.833,13.885,13.855,13.667,13.901,13.908,13.711,13.733,13.928,13.879,13.925,13.934,13.952,13.957
60.359,0.287165605,13.741,13.794,13.813,13.731,13.912,13.748,13.609,13.822,13.677,13.799,13.795,13.918,13.831,13.784,13.819,13.772,13.804,13.881,13.861,13.757,13.789,13.875,13.839,13.94,13.848,13.965,13.878
60.613,0.291210191,13.738,13.789,13.762,13.762,13.846,13.731,13.683,13.788,13.647,13.761,13.869,13.88,13.889,13.798,13.781,13.831,13.873,13.794,13.913,13.918,13.683,13.767,13.672,13.873,13.788,13.912,13.924
60.867,0.295254777,13.875,13.706,13.648,13.726,13.818,13.706,13.866,13.786,13.655,13.658,13.77,13.782,13.79,13.812,13.681,13.923,13.822,13.712,13.855,13.815,13.765,13.614,13.721,13.825,13.768,13.852,13.868
61.121,0.299299363,13.781,13.748,13.597,13.683,13.554,13.621,13.866,13.777,13.652,13.736,13.659,13.559,13.673,13.769,13.668,13.838,13.753,13.774,13.768,13.763,13.793,13.693,13.795,13.768,13.845,13.745,13.741
61.375,0.303343949,13.609,13.753,13.755,13.735,13.499,13.627,13.768,13.622,13.623,13.673,13.717,13.655,13.647,13.598,13.752,13.712,13.649,13.747,13.848,13.747,13.775,13.747,13.707,13.811,13.801,13.64,13.778
61.629,0.307388535,13.534,13.655,13.744,13.758,13.576,13.689,13.687,13.58,13.555,13.666,13.697,13.799,13.659,13.586,13.735,13.721,13.628,13.637,13.858,13.786,13.733,13.747,13.693,13.795,13.707,13.654,13.822
61.883,0.311433121,13.563,13.715,13.671,13.825,13.542,13.717,13.625,13.643,13.578,13.687,13.63,13.747,13.688,13.743,13.797,13.805,13.618,13.626,13.81,13.704,13.783,13.723,13.744,13.72,13.669,13.739,13.804
62.137,0.315477707,13.625,13.705,13.709,13.848,13.69,13.839,13.599,13.645,13.61,13.724,13.68,13.694,13.81,13.798,13.814,13.816,13.72,13.606,13.776,13.629,13.691,13.701,13.665,13.661,13.735,13.671,13.8
62.391,0.319522293,13.602,13.731,13.749,13.672,13.706,13.743,13.556,13.66,13.642,13.615,13.591,13.668,13.635,13.746,13.785,13.803,13.716,13.623,13.639,13.71,13.649,13.726,13.605,13.671,13.631,13.727,13.736
62.645,0.323566879,13.673,13.711,13.758,13.524,13.626,13.573,13.563,13.623,13.612,13.698,13.602,13.735,13.643,13.694,13.752,13.741,13.609,13.642,13.658,13.631,13.669,13.616,13.529,13.678,13.65,13.679,13.724
